,herocompare,herocompare_name,itemhero,itemhero_name,skill,skill_WR,tandem_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4
11900,48,Luna,111,Oracle,E,0.3703703703703703,0.33035714285714285,36.0,0.3695652173913043,Magic Wand,180.0,0.26,Arcane Boots,79.0,0.2916666666666667,Mekansm,214.0,0.2307692307692308,Tranquil Boots,41.0,0.5714285714285714,Bottle
11901,49,Dragon Knight,111,Oracle,Q,0.6666666666666666,0.4068965517241379,36.0,0.4067796610169492,Magic Wand,180.0,0.3770491803278688,Arcane Boots,79.0,0.3142857142857143,Mekansm,214.0,0.3333333333333333,Tranquil Boots,37.0,0.6470588235294118,Ghost Scepter
11902,50,Dazzle,111,Oracle,E,0.4938271604938271,0.4501510574018127,36.0,0.4677419354838709,Magic Wand,180.0,0.4347826086956522,Arcane Boots,178.0,0.1904761904761905,Soul Ring,31.0,0.3636363636363636,Cloak,79.0,0.3387096774193548,Mekansm
11903,51,Clockwerk,111,Oracle,E,0.4313725490196079,0.42441860465116277,36.0,0.367816091954023,Magic Wand,180.0,0.3571428571428572,Arcane Boots,37.0,0.4666666666666667,Ghost Scepter,178.0,0.3333333333333333,Soul Ring,79.0,0.2307692307692308,Mekansm
11904,52,Leshrac,111,Oracle,E,0.5714285714285714,0.4489795918367347,36.0,0.55,Magic Wand,180.0,0.4285714285714285,Arcane Boots,41.0,0.75,Bottle,79.0,0.6,Mekansm,178.0,0.6,Soul Ring
11905,53,Natures Prophet,111,Oracle,Q,0.5833333333333334,0.486810551558753,36.0,0.4352941176470588,Magic Wand,180.0,0.4465408805031447,Arcane Boots,37.0,0.575,Ghost Scepter,178.0,0.7142857142857143,Soul Ring,79.0,0.4022988505747127,Mekansm
11906,54,Lifestealer,111,Oracle,E,0.4433962264150944,0.44947735191637633,36.0,0.4528301886792453,Magic Wand,180.0,0.4230769230769231,Arcane Boots,79.0,0.4444444444444444,Mekansm,214.0,0.38,Tranquil Boots,232.0,0.5180722891566265,Aether Lens
11907,55,Dark Seer,111,Oracle,E,0.3015873015873016,0.41847826086956524,36.0,0.4069767441860465,Magic Wand,180.0,0.3552631578947368,Arcane Boots,31.0,0.375,Cloak,79.0,0.3548387096774194,Mekansm,232.0,0.45,Aether Lens
11908,56,Clinkz,111,Oracle,E,0.5657894736842105,0.46255506607929514,36.0,0.5111111111111111,Magic Wand,180.0,0.3960396039603961,Arcane Boots,37.0,0.5102040816326531,Ghost Scepter,79.0,0.32,Mekansm,232.0,0.5833333333333334,Aether Lens
11909,57,Omniknight,111,Oracle,E,0.4130434782608696,0.39332096474953615,36.0,0.4103585657370518,Magic Wand,180.0,0.3319148936170213,Arcane Boots,31.0,0.08333333333333333,Cloak,37.0,0.4745762711864407,Ghost Scepter,178.0,0.3636363636363636,Soul Ring
11910,58,Enchantress,111,Oracle,E,0.3714285714285714,0.4221105527638191,36.0,0.3444444444444444,Magic Wand,180.0,0.2926829268292683,Arcane Boots,37.0,0.52,Ghost Scepter,232.0,0.5492957746478874,Aether Lens,31.0,0.1666666666666667,Cloak
11911,59,Huskar,111,Oracle,Q,0.8333333333333334,0.5247524752475248,180.0,0.5121951219512195,Arcane Boots,36.0,0.4666666666666667,Magic Wand,79.0,0.7058823529411765,Mekansm,214.0,0.4736842105263158,Tranquil Boots,254.0,0.6,Glimmer Cape
11912,60,Night Stalker,111,Oracle,Q,0.5,0.3356643356643357,36.0,0.3454545454545455,Magic Wand,180.0,0.2545454545454545,Arcane Boots,79.0,0.1578947368421053,Mekansm,102.0,0.6666666666666666,Force Staff,214.0,0.2692307692307692,Tranquil Boots
11913,61,Broodmother,111,Oracle,E,0.6190476190476191,0.49206349206349204,36.0,0.56,Magic Wand,180.0,0.5,Arcane Boots,102.0,0.8888888888888888,Force Staff,37.0,0.8571428571428571,Ghost Scepter,232.0,0.6666666666666666,Aether Lens
11914,62,Bounty Hunter,111,Oracle,Q,0.5294117647058824,0.4246100519930676,36.0,0.4475806451612903,Magic Wand,180.0,0.3832599118942731,Arcane Boots,79.0,0.4722222222222222,Mekansm,37.0,0.4166666666666667,Ghost Scepter,31.0,0.1538461538461539,Cloak
