,herocompare,herocompare_name,itemhero,itemhero_name,skill,skill_WR,tandem_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4,item5,item_WR5,item_name5
67,70,Ursa,1,Anti-Mage,Q,0.5304347826086957,0.5116713352007469,63.0,0.474390243902439,Power Treads,145.0,0.52465483234714,Battle Fury,143.0,0.6366906474820144,Skull Basher,147.0,0.6287787182587666,Manta Style,48.0,0.7237569060773481,Boots of Travel,81.0,0.5626666666666666,Vladmir's Offering
68,71,Spirit Breaker,1,Anti-Mage,W,0.5369649805447471,0.49796954314720815,63.0,0.4573378839590443,Power Treads,145.0,0.5110155830198818,Battle Fury,143.0,0.5514018691588785,Skull Basher,147.0,0.6020408163265306,Manta Style,81.0,0.5517647058823529,Vladmir's Offering,48.0,0.6712707182320442,Boots of Travel
69,72,Gyrocopter,1,Anti-Mage,Q,0.3661971830985916,0.36660929432013767,63.0,0.3287671232876712,Power Treads,145.0,0.3781818181818182,Battle Fury,143.0,0.4388489208633093,Skull Basher,81.0,0.4562211981566821,Vladmir's Offering,48.0,0.5816326530612245,Boots of Travel,147.0,0.4703196347031963,Manta Style
70,73,Alchemist,1,Anti-Mage,W,0.4834437086092715,0.44971428571428573,63.0,0.4182225541448842,Power Treads,145.0,0.4659231722428748,Battle Fury,143.0,0.5478723404255319,Skull Basher,81.0,0.5277777777777778,Vladmir's Offering,147.0,0.6083061889250815,Manta Style,48.0,0.6702898550724637,Boots of Travel
71,74,Invoker,1,Anti-Mage,W,0.5131459655485041,0.48103843217103587,63.0,0.4385697339433994,Power Treads,145.0,0.4906015037593985,Battle Fury,143.0,0.5278450363196125,Skull Basher,81.0,0.5435672514619883,Vladmir's Offering,147.0,0.5892972275951,Manta Style,48.0,0.6846590909090909,Boots of Travel
72,75,Silencer,1,Anti-Mage,W,0.5323529411764706,0.47822612864562525,63.0,0.4312997347480106,Power Treads,145.0,0.4810286677908938,Battle Fury,147.0,0.5843765648472709,Manta Style,48.0,0.6934782608695652,Boots of Travel,143.0,0.5205479452054794,Skull Basher,81.0,0.53125,Vladmir's Offering
73,76,Outworld Devourer,1,Anti-Mage,W,0.4767801857585139,0.4556188925081433,63.0,0.4275248560962847,Power Treads,145.0,0.4660361134995701,Battle Fury,143.0,0.5102040816326531,Skull Basher,81.0,0.5200364298724954,Vladmir's Offering,147.0,0.5555555555555556,Manta Style,48.0,0.639386189258312,Boots of Travel
74,77,Lycan,1,Anti-Mage,E,0.6666666666666666,0.5280898876404494,63.0,0.4854368932038835,Power Treads,145.0,0.532258064516129,Battle Fury,48.0,0.7843137254901961,Boots of Travel,143.0,0.6153846153846154,Skull Basher,36.0,0.6666666666666666,Magic Wand,147.0,0.6118721461187214,Manta Style
75,78,Brewmaster,1,Anti-Mage,E,0.6,0.4493927125506073,63.0,0.4111111111111111,Power Treads,145.0,0.4732142857142857,Battle Fury,48.0,0.6792452830188679,Boots of Travel,143.0,0.5510204081632653,Skull Basher,147.0,0.5759162303664922,Manta Style,139.0,0.8070175438596491,Butterfly
76,79,Shadow Demon,1,Anti-Mage,W,0.62,0.4656084656084656,63.0,0.3890909090909091,Power Treads,145.0,0.4872521246458923,Battle Fury,147.0,0.5898305084745763,Manta Style,81.0,0.5182926829268293,Vladmir's Offering,139.0,0.8571428571428571,Butterfly,143.0,0.4404761904761905,Skull Basher
77,80,Lone Druid,1,Anti-Mage,E,0.5,0.44603174603174606,63.0,0.4081632653061225,Power Treads,145.0,0.4648370497427101,Battle Fury,48.0,0.7553191489361702,Boots of Travel,143.0,0.5241935483870968,Skull Basher,81.0,0.55,Vladmir's Offering,147.0,0.5849889624724062,Manta Style
78,81,Chaos Knight,1,Anti-Mage,Q,0.5294117647058824,0.4204322200392927,63.0,0.3950953678474114,Power Treads,145.0,0.4414225941422594,Battle Fury,143.0,0.5178571428571429,Skull Basher,147.0,0.5434782608695652,Manta Style,48.0,0.6136363636363636,Boots of Travel,81.0,0.4648648648648649,Vladmir's Offering
